id,species,observed_on,place,user,latitude,longitude,url
250928108,Cecropia Moth,2024-11-08 12:47:11-05:00,"Pleasantville, NJ, US",michaelnj,39.3743047468,-74.4950880385,https://www.inaturalist.org/observations/250928108
232202433,Cecropia Moth,2024-07-19 19:36:28-04:00,"Washington Twp, NJ, USA",schmieds,40.7759527778,-74.9925916667,https://www.inaturalist.org/observations/232202433
230509330,Cecropia Moth,2024-07-19 23:22:04-04:00,"Davidsons Millpond, North Brunswick, NJ, US",bramblefruits,40.4112783333,-74.4983583333,https://www.inaturalist.org/observations/230509330
230506775,Cecropia Moth,2024-07-19 23:21:03-04:00,"North Brunswick Township, NJ 08902, USA",caoraesque,40.4109920163,-74.4974575192,https://www.inaturalist.org/observations/230506775
227050005,Cecropia Moth,2024-07-04 01:31:22-04:00,"Gloucester County, US-NJ, US",garlicdog,39.855347,-75.193638,https://www.inaturalist.org/observations/227050005
225815071,Cecropia Moth,2024-06-28 19:12:28-04:00,"Burlington County, US-NJ, US",fart,39.7393506438,-74.7345056199,https://www.inaturalist.org/observations/225815071
225797857,Cecropia Moth,2024-06-28 17:22:00-04:00,Southampton Township,sapien,39.9238433838,-74.6896972656,https://www.inaturalist.org/observations/225797857
224625590,Cecropia Moth,2024-06-23 09:28:07-04:00,"Flemington, NJ 08822, USA",asnieckus,40.50850919,-74.86649581,https://www.inaturalist.org/observations/224625590
224624972,Cecropia Moth,2024-06-23 09:23:42-04:00,"Flemington, NJ 08822, USA",myllicent,40.5078694444,-74.8664388889,https://www.inaturalist.org/observations/224624972
224525660,Cecropia Moth,2024-06-22 20:24:50-04:00,"Freehold Rd, Manalapan, NJ, US",ksu-sha,40.2884666667,-74.3407883333,https://www.inaturalist.org/observations/224525660
224431334,Cecropia Moth,2024-06-22 12:57:37-04:00,"Edgebrook Rd, Robbinsville, NJ, US",toughturf,40.1928365792,-74.6274381903,https://www.inaturalist.org/observations/224431334
224381143,Cecropia Moth,2024-06-22 09:05:32-04:00,"Oakwood Terr, Scotch Plains, NJ, US",jeannine_cavaliere,40.6340063699,-74.3759019853,https://www.inaturalist.org/observations/224381143
223632842,Cecropia Moth,2024-06-18 06:43:20-04:00,"J5M3+25, Clinton Township, NJ 08833, USA",fishbruh,40.632303,-74.8466604,https://www.inaturalist.org/observations/223632842
223479606,Cecropia Moth,2024-06-17 01:58:00-04:00,"New Jersey, US",evelyntomology,39.9996888281,-75.1934375131,https://www.inaturalist.org/observations/223479606
223479605,Cecropia Moth,2024-06-17 01:59:00-04:00,"New Jersey, US",evelyntomology,39.8621896809,-75.1437457048,https://www.inaturalist.org/observations/223479605
223479602,Cecropia Moth,2024-06-17 02:00:00-04:00,"New Jersey, US",evelyntomology,39.8782378989,-75.0456393262,https://www.inaturalist.org/observations/223479602
223410720,Cecropia Moth,2024-06-16 12:41:00-04:00,"Galloway, NJ, USA",davidenrique,39.4937694444,-74.5406833333,https://www.inaturalist.org/observations/223410720
223039253,Cecropia Moth,2024-06-15 23:14:25-04:00,"Maurice River, NJ, USA",evelyntomology,39.314404,-74.8766458997,https://www.inaturalist.org/observations/223039253
223027542,Cecropia Moth,2024-06-13 19:17:37-04:00,"New Jersey, US",evelyntomology,39.8431108352,-75.0625074545,https://www.inaturalist.org/observations/223027542
217787975,Cecropia Moth,2024-05-23 18:57:10-04:00,"Shell Pile, Wildwood, NJ, US",gokurocks321123,38.9870975,-74.8179575,https://www.inaturalist.org/observations/217787975
215883376,Cecropia Moth,2024-05-14 22:06:43-04:00,"Upper Township, NJ, USA",bkfj,39.2974726913,-74.8555260524,https://www.inaturalist.org/observations/215883376
211288538,Cecropia Moth,2024-04-27 14:56:00-04:00,"Woodland, NJ, USA",mertensia,39.7942991112,-74.4902808517,https://www.inaturalist.org/observations/211288538
207867105,Cecropia Moth,2024-04-14 12:08:00-04:00,"Clinton Township, NJ, USA",soilsflutterby,40.6203387336,-74.8442974659,https://www.inaturalist.org/observations/207867105
207864182,Cecropia Moth,2024-04-17 13:15:00-04:00,"Chatham Township, NJ, USA",srall,40.7260463256,-74.4198076894,https://www.inaturalist.org/observations/207864182
206193617,Cecropia Moth,2024-03-29 18:02:21-04:00,"Tinton Falls, NJ, US",tommymorris17,40.20812,-74.0958721667,https://www.inaturalist.org/observations/206193617
205978586,Cecropia Moth,2024-04-07 12:49:00-04:00,"Round Valley Recreation Area, 1220 Stanton Lebanon Rd, Lebanon, NJ 08833, USA",nilshelstrom,40.6202362,-74.8518562,https://www.inaturalist.org/observations/205978586
205868108,Cecropia Moth,2024-03-30 10:27:00-04:00,"Woodland, NJ, USA",cakrawczyk,39.8801064429,-74.5339602004,https://www.inaturalist.org/observations/205868108
202575553,Cecropia Moth,2024-03-14 17:48:00-04:00,"Hardwick Township, NJ, USA",gekkorotto,41.0046668349,-75.1046648513,https://www.inaturalist.org/observations/202575553
201919568,Cecropia Moth,2024-03-08 08:56:00-05:00,"Readington Township, NJ, USA",lisaann106,40.6039928562,-74.7632446014,https://www.inaturalist.org/observations/201919568
201845504,Cecropia Moth,2024-03-09 09:45:59-05:00,"New Jersey, US",d0ugh0ck,39.709809017,-74.4897982207,https://www.inaturalist.org/observations/201845504
201790756,Cecropia Moth,2024-03-09 09:46:07-05:00,"Chatsworth, NJ, US",dcvmnaturalist,39.7816604375,-74.5030593158,https://www.inaturalist.org/observations/201790756
199827936,Cecropia Moth,2024-02-19 15:22:00-05:00,"Pemberton Township, NJ, USA",berniek,39.9611474081,-74.5076469029,https://www.inaturalist.org/observations/199827936
199001532,Cecropia Moth,2024-01-27 09:17:00-05:00,"Pemberton Township, NJ, USA",berniek,39.9585158567,-74.5071319188,https://www.inaturalist.org/observations/199001532
